Header lenght,Source MAC,Destination MAC,IP Protocol,Packet Type,Source IP adress,Destination IP adress,DSCP,ECN,IP ID,IP Fragment Offset,Traffic Class,Flow label,Source Port,Destination Port,IPv6 Extension,IPv6 Extension Lenght,Number of IPv6 Extension,IP header lenght,TCP Header Lenght,TTL,Hop Limit,Payload Size,TCP Window Size,UDP header Lenght,Timestamp,TCP Flag,SYCK Num,ACK Num,TCP Kind,TCP Options Lenght,Number of Options,ARP Hardware Type,ARP Protocol,ARP Hardware Size,ARP Protocol Size,ARP Opcode val,Sender's mac,Sender's IP,Target mac,Target IP,ICMP Type,ICMP code,Checksum,ICMP Echo,Sequence,IGMP Type,IGMP Max response,IGMP Checksum,Group Addr,Hash Identification
163,33:33:00:01:00:02,a4:00:4e:3d:27:10,0x86DD,UDP,fe80:0000:0000:0000:6fe2:8bf1:c28b:4ea5,ff02:0000:0000:0000:0000:0000:0001:0002,0,0,,,0,0,546,547,,0,0,40,,,1,101,,109,1751825534,,,,,,,,,,,,,,,,,,,,,,,,,15626810504917238260
86,33:33:ff:fc:2a:f1,b4:8c:9d:5d:37:9f,0x86DD,TCP,fe80:0000:0000:0000:043f:7d10:3efc:2af1,ff02:0000:0000:0000:0000:0001:fffc:2af1,0,0,,,0,0,0,5120,0-131-255-,40,3,88,44,,1,86,40285,,1751825534,0x140,13107,2197831435,96:,24,0,,,,,,,,,,,,,,,,,,,12176547382597322348
86,33:33:00:01:00:03,b4:8c:9d:5d:37:9f,0x86DD,TCP,fe80:0000:0000:0000:043f:7d10:3efc:2af1,ff02:0000:0000:0000:0000:0000:0001:0003,0,0,,,0,0,0,5120,0-131-255-,40,3,88,44,,1,86,40285,,1751825534,0x140,13107,2197853409,96:,24,0,,,,,,,,,,,,,,,,,,,14501176539973313180
86,33:33:00:00:00:fb,b4:8c:9d:5d:37:9f,0x86DD,TCP,fe80:0000:0000:0000:043f:7d10:3efc:2af1,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,0,0,5120,0-131-255-,40,3,88,44,,1,86,40285,,1751825534,0x140,13107,2197852915,96:,24,0,,,,,,,,,,,,,,,,,,,13625080900434395378
86,33:33:00:00:00:0c,b4:8c:9d:5d:37:9f,0x86DD,TCP,fe80:0000:0000:0000:043f:7d10:3efc:2af1,ff02:0000:0000:0000:0000:0000:0000:000c,0,0,,,0,0,0,5120,0-131-255-,40,3,88,16,,1,86,48404,,1751825534,0x235,13107,2197853393,,,,,,,,,,,,,,,,,,,,,,13665168025426050222
120,33:33:00:01:00:02,4c:eb:bd:14:1f:ad,0x86DD,UDP,fe80:0000:0000:0000:fd7e:c552:975c:eb6e,ff02:0000:0000:0000:0000:0000:0001:0002,0,0,,,0,693596,546,547,,0,0,40,,,1,58,,66,1751825534,,,,,,,,,,,,,,,,,,,,,,,,,1490827316924047084
294,ff:ff:ff:ff:ff:ff,a4:00:4e:3d:2a:08,0x0800,UDP,172.22.120.197,255.255.255.255,48,0,4,0,,,5249,5246,,,,20,,64,,252,,260,1751825534,,,,,,,,,,,,,,,,,,,,,,,,,7668405826585577383
314,33:33:00:00:01:8c,a4:00:4e:3d:2a:08,0x86DD,UDP,fe80:0000:0000:0000:fce4:5a10:2b88:253c,ff02:0000:0000:0000:0000:0000:0000:018c,48,0,,,192,0,5249,5246,,0,0,40,,,1,252,,260,1751825534,,,,,,,,,,,,,,,,,,,,,,,,,13073994529103112512
82,01:00:5e:00:00:fb,98:bd:80:6e:2c:97,0x0800,UDP,172.22.122.74,224.0.0.251,0,0,7,0,,,5353,5353,,,,20,,1,,40,,48,1751825534,,,,,,,,,,,,,,,,,,,,,,,,,17884594029582042825
102,33:33:00:00:00:fb,98:bd:80:6e:2c:97,0x86DD,UDP,fe80:0000:0000:0000:b5e1:5fee:cce3:2aac,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,785049,5353,5353,,0,0,40,,,1,40,,48,1751825534,,,,,,,,,,,,,,,,,,,,,,,,,14802344618284885695
82,01:00:5e:00:00:fb,98:bd:80:6e:2c:97,0x0800,UDP,172.22.122.74,224.0.0.251,0,0,8,0,,,5353,5353,,,,20,,1,,40,,48,1751825534,,,,,,,,,,,,,,,,,,,,,,,,,17884594029582042825
102,33:33:00:00:00:fb,98:bd:80:6e:2c:97,0x86DD,UDP,fe80:0000:0000:0000:b5e1:5fee:cce3:2aac,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,785049,5353,5353,,0,0,40,,,1,40,,48,1751825534,,,,,,,,,,,,,,,,,,,,,,,,,14802344618284885695
86,33:33:ff:5f:8a:7c,02:ea:7c:5f:8a:7c,0x86DD,11,fe80:0000:0000:0000:00ea:7cff:fe5f:8a7c,ff02:0000:0000:0000:0000:0001:ff5f:8a7c,0,0,,,0,0,,,0-131-255-,40,3,88,,,1,,,,1751825534,,,,,,,,,,,,,,,,,,,,,,,,,2496923529721289458
92,ff:ff:ff:ff:ff:ff,10:68:38:a3:ff:49,0x0800,UDP,172.22.120.137,172.22.127.255,0,0,225,0,,,137,137,,,,20,,128,,50,,58,1751825534,,,,,,,,,,,,,,,,,,,,,,,,,5744518551174260364
85,00:fd:22:38:9e:5c,30:03:c8:3c:a8:85,0x0800,TCP,172.22.125.1,20.192.44.80,0,0,195,0,,,56338,443,,,,20,20,128,,31,252,,1751825535,0x24,1907258143,2187010217,,,,,,,,,,,,,,,,,,,,,,562443861200455100
86,ff:ff:ff:ff:ff:ff,94:bb:43:c1:23:3c,0x0800,UDP,172.22.121.74,172.22.127.255,0,0,1,0,,,57621,57621,,,,20,,128,,44,,52,1751825535,,,,,,,,,,,,,,,,,,,,,,,,,9470533654828601776
103,01:00:5e:00:00:fb,9e:48:c7:17:78:22,0x0800,UDP,172.22.122.220,224.0.0.251,0,0,152,0,,,5353,5353,,,,20,,255,,61,,69,1751825535,,,,,,,,,,,,,,,,,,,,,,,,,5466748068514639775
123,33:33:00:00:00:fb,9e:48:c7:17:78:22,0x86DD,UDP,fe80:0000:0000:0000:9c48:c7ff:fe17:7822,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,822270,5353,5353,,0,0,40,,,255,61,,69,1751825535,,,,,,,,,,,,,,,,,,,,,,,,,16435157096047109060
60,30:03:c8:3c:a8:85,00:fd:22:38:9e:5c,0x0800,TCP,20.192.44.80,172.22.125.1,0,0,121,0,,,443,56338,,,,20,20,53,,6,501,,1751825535,0x16,2187010217,1907258174,,,,,,,,,,,,,,,,,,,,,,4369313038055075110
483,01:00:5e:00:00:fb,b2:b5:d1:37:b6:29,0x0800,UDP,172.22.126.157,224.0.0.251,0,0,154,0,,,5353,5353,,,,20,,255,,441,,449,1751825535,,,,,,,,,,,,,,,,,,,,,,,,,2321613964300666761
503,33:33:00:00:00:fb,b2:b5:d1:37:b6:29,0x86DD,UDP,fe80:0000:0000:0000:1cd8:a7fd:33ed:abf3,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,263936,5353,5353,,0,0,40,,,255,441,,449,1751825535,,,,,,,,,,,,,,,,,,,,,,,,,10249171234285031236
92,ff:ff:ff:ff:ff:ff,10:68:38:a3:ff:49,0x0800,UDP,172.22.120.137,172.22.127.255,0,0,226,0,,,137,137,,,,20,,128,,50,,58,1751825535,,,,,,,,,,,,,,,,,,,,,,,,,5744518551174260364
87,01:00:5e:00:00:fb,34:6f:24:c6:15:13,0x0800,UDP,172.22.121.81,224.0.0.251,0,0,199,0,,,5353,5353,,,,20,,255,,45,,53,1751825535,,,,,,,,,,,,,,,,,,,,,,,,,1366572692455993651
107,33:33:00:00:00:fb,34:6f:24:c6:15:13,0x86DD,UDP,fe80:0000:0000:0000:bba5:a18b:73b3:9dfe,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,734681,5353,5353,,0,0,40,,,255,45,,53,1751825535,,,,,,,,,,,,,,,,,,,,,,,,,7180454308768470975
384,01:00:5e:00:00:fb,d2:cd:99:89:6d:d3,0x0800,UDP,172.22.125.80,224.0.0.251,0,0,133,0,,,5353,5353,,,,20,,255,,342,,350,1751825535,,,,,,,,,,,,,,,,,,,,,,,,,9027500881503758110
404,33:33:00:00:00:fb,d2:cd:99:89:6d:d3,0x86DD,UDP,fe80:0000:0000:0000:18e5:7f4b:fc92:fd23,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,256,5353,5353,,0,0,40,,,255,342,,350,1751825535,,,,,,,,,,,,,,,,,,,,,,,,,4271010562977571524
294,ff:ff:ff:ff:ff:ff,a4:00:4e:3d:07:d0,0x0800,UDP,172.22.125.204,255.255.255.255,48,0,144,0,,,5249,5246,,,,20,,64,,252,,260,1751825535,,,,,,,,,,,,,,,,,,,,,,,,,10445689966687147858
314,33:33:00:00:01:8c,a4:00:4e:3d:07:d0,0x86DD,UDP,fe80:0000:0000:0000:dcd1:3fa5:821b:872b,ff02:0000:0000:0000:0000:0000:0000:018c,48,0,,,192,0,5249,5246,,0,0,40,,,1,252,,260,1751825535,,,,,,,,,,,,,,,,,,,,,,,,,18324500255719529921
167,01:00:5e:7f:ff:fa,34:6f:24:c6:15:13,0x0800,UDP,172.22.121.81,239.255.255.250,0,0,159,0,,,65532,1900,,,,20,,255,,125,,133,1751825535,,,,,,,,,,,,,,,,,,,,,,,,,13154262507935913233
143,01:00:5e:7f:ff:fa,f4:c8:8a:4d:ad:3c,0x0800,UDP,172.22.127.200,239.255.255.250,0,0,243,0,,,61996,1900,,,,20,,4,,101,,109,1751825535,,,,,,,,,,,,,,,,,,,,,,,,,6464689922539861423
294,ff:ff:ff:ff:ff:ff,a4:00:4e:3c:fa:08,0x0800,UDP,172.22.120.221,255.255.255.255,48,0,44,0,,,5250,5246,,,,20,,64,,252,,260,1751825535,,,,,,,,,,,,,,,,,,,,,,,,,16879923468385597378
314,33:33:00:00:01:8c,a4:00:4e:3c:fa:08,0x86DD,UDP,fe80:0000:0000:0000:2ecb:cfa5:80a3:8dad,ff02:0000:0000:0000:0000:0000:0000:018c,48,0,,,192,0,5250,5246,,0,0,40,,,1,252,,260,1751825535,,,,,,,,,,,,,,,,,,,,,,,,,2654134102093243857
216,ff:ff:ff:ff:ff:ff,7e:9c:a8:20:c2:dd,0x0800,UDP,172.22.122.234,172.22.127.255,0,0,143,0,,,138,138,,,,20,,64,,174,,182,1751825535,,,,,,,,,,,,,,,,,,,,,,,,,9347654355577097001
90,33:33:00:00:00:16,4e:62:47:d6:d8:ff,0x86DD,0,fe80:0000:0000:0000:4c62:47ff:fed6:d8ff,ff02:0000:0000:0000:0000:0000:0000:0016,0,0,,,0,0,,,0-143-4-0-255-,1752,5,1800,,,1,,,,1751825535,,,,,,,,,,,,,,,,,,,,,,,,,10557446528051805842
163,33:33:00:01:00:02,a4:00:4e:3d:10:80,0x86DD,UDP,fe80:0000:0000:0000:3ab1:d31d:0d04:81e0,ff02:0000:0000:0000:0000:0000:0001:0002,0,0,,,0,0,546,547,,0,0,40,,,1,101,,109,1751825535,,,,,,,,,,,,,,,,,,,,,,,,,12750592410502699716
66,30:e3:a4:94:ac:ff,30:03:c8:3c:a8:85,0x0800,TCP,172.22.125.1,172.22.126.67,0,0,73,0,,,56695,7680,,,,20,32,128,,0,65535,,1751825535,0x2,2663951981,0,2:,12,1,,,,,,,,,,,,,,,,,,,6532731126365961656
86,33:33:ff:5a:28:a9,00:e9:3a:5d:90:d1,0x86DD,1,fe80:0000:0000:0000:6123:c22d:235a:28a9,ff02:0000:0000:0000:0000:0001:ff5a:28a9,0,0,,,0,0,,,0-131-255-,40,3,88,,,1,,,,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,15138726118828544332
86,33:33:00:00:00:fb,00:e9:3a:5d:90:d1,0x86DD,1,fe80:0000:0000:0000:6123:c22d:235a:28a9,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,0,,,0-131-255-,40,3,88,,,1,,,,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,18221907532088219176
86,33:33:00:01:00:03,00:e9:3a:5d:90:d1,0x86DD,1,fe80:0000:0000:0000:6123:c22d:235a:28a9,ff02:0000:0000:0000:0000:0000:0001:0003,0,0,,,0,0,,,0-131-255-,40,3,88,,,1,,,,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,9856617630422430790
86,33:33:00:00:00:0c,00:e9:3a:5d:90:d1,0x86DD,4,fe80:0000:0000:0000:6123:c22d:235a:28a9,ff02:0000:0000:0000:0000:0000:0000:000c,0,0,,,0,0,,,0-131-255-,40,3,88,,,1,,,,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,18181972131698682404
92,ff:ff:ff:ff:ff:ff,90:de:80:2d:49:8b,0x0800,UDP,172.22.127.99,172.22.127.255,0,0,247,0,,,137,137,,,,20,,128,,50,,58,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,4841997919949626712
90,33:33:00:00:00:16,4e:62:47:d6:d8:ff,0x86DD,0,fe80:0000:0000:0000:4c62:47ff:fed6:d8ff,ff02:0000:0000:0000:0000:0000:0000:0016,0,0,,,0,0,,,0-143-4-0-255-,1752,5,1800,,,1,,,,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,10557446528051805842
86,33:33:ff:bf:26:14,32:5e:b8:19:8a:9f,0x86DD,5,fe80:0000:0000:0000:10ac:a1c3:e8f4:242d,ff02:0000:0000:0000:0000:0002:ffbf:2614,0,0,,,0,0,,,0-131-255-,40,3,88,,,1,,,,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,15804290548422681960
86,33:33:ff:f4:24:2d,32:5e:b8:19:8a:9f,0x86DD,5,fe80:0000:0000:0000:10ac:a1c3:e8f4:242d,ff02:0000:0000:0000:0000:0001:fff4:242d,0,0,,,0,0,,,0-131-255-,40,3,88,,,1,,,,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,16628672883078596352
186,ff:ff:ff:ff:ff:ff,94:bb:43:c1:23:3c,0x0800,UDP,172.22.121.74,172.22.127.255,0,0,2,0,,,54592,51007,,,,20,,128,,144,,152,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,9470533654828626356
86,ff:ff:ff:ff:ff:ff,34:6f:24:c6:15:13,0x0800,UDP,172.22.121.81,172.22.127.255,0,0,126,0,,,57621,57621,,,,20,,128,,44,,52,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,16807906303010217635
150,33:33:00:01:00:02,c8:94:02:69:ba:17,0x86DD,UDP,fe80:0000:0000:0000:205b:4537:b75d:7d0f,ff02:0000:0000:0000:0000:0000:0001:0002,0,0,,,0,575622,546,547,,0,0,40,,,1,88,,96,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,14237831338948762261
294,ff:ff:ff:ff:ff:ff,a4:00:4e:3d:27:40,0x0800,UDP,172.22.122.212,255.255.255.255,48,0,8,0,,,5249,5246,,,,20,,64,,252,,260,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,5662527404952169549
141,01:00:5e:00:00:fb,7e:9c:a8:20:c2:dd,0x0800,UDP,172.22.122.234,224.0.0.251,0,0,196,0,,,5353,5353,,,,20,,255,,99,,107,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,8795298319412063805
161,33:33:00:00:00:fb,7e:9c:a8:20:c2:dd,0x86DD,UDP,fe80:0000:0000:0000:0862:c431:bdcb:b4bb,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,592640,5353,5353,,0,0,40,,,255,99,,107,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,13344213420253942945
82,01:00:5e:00:00:fb,c8:94:02:69:ba:17,0x0800,UDP,172.22.123.1,224.0.0.251,0,0,21,0,,,5353,5353,,,,20,,1,,40,,48,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,9018072769248729549
102,33:33:00:00:00:fb,c8:94:02:69:ba:17,0x86DD,UDP,fe80:0000:0000:0000:205b:4537:b75d:7d0f,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,806338,5353,5353,,0,0,40,,,1,40,,48,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,15545155473176863809
82,01:00:5e:00:00:fb,c8:94:02:69:ba:17,0x0800,UDP,172.22.123.1,224.0.0.251,0,0,22,0,,,5353,5353,,,,20,,1,,40,,48,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,9018072769248729549
102,33:33:00:00:00:fb,c8:94:02:69:ba:17,0x86DD,UDP,fe80:0000:0000:0000:205b:4537:b75d:7d0f,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,806338,5353,5353,,0,0,40,,,1,40,,48,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,15545155473176863809
92,ff:ff:ff:ff:ff:ff,90:de:80:2d:49:8b,0x0800,UDP,172.22.127.99,172.22.127.255,0,0,248,0,,,137,137,,,,20,,128,,50,,58,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,4841997919949626712
102,33:33:00:00:00:fb,c8:94:02:69:ba:17,0x86DD,UDP,fe80:0000:0000:0000:205b:4537:b75d:7d0f,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,121369,5353,5353,,0,0,40,,,1,40,,48,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,15545155473176863809
102,33:33:00:00:00:fb,c8:94:02:69:ba:17,0x86DD,UDP,fe80:0000:0000:0000:205b:4537:b75d:7d0f,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,121369,5353,5353,,0,0,40,,,1,40,,48,1751825536,,,,,,,,,,,,,,,,,,,,,,,,,15545155473176863809
86,33:33:ff:f9:44:b0,16:23:10:8c:b8:de,0x86DD,1,fe80:0000:0000:0000:10a8:995a:743a:7fcc,ff02:0000:0000:0000:0000:0002:fff9:44b0,0,0,,,0,0,,,0-131-255-,40,3,88,,,1,,,,1751825537,,,,,,,,,,,,,,,,,,,,,,,,,6945644319490220773
86,33:33:ff:3a:7f:cc,16:23:10:8c:b8:de,0x86DD,1,fe80:0000:0000:0000:10a8:995a:743a:7fcc,ff02:0000:0000:0000:0000:0001:ff3a:7fcc,0,0,,,0,0,,,0-131-255-,40,3,88,,,1,,,,1751825537,,,,,,,,,,,,,,,,,,,,,,,,,16526023728806685047
167,01:00:5e:7f:ff:fa,56:94:3e:f2:cb:d0,0x0800,UDP,172.22.122.255,239.255.255.250,0,0,116,0,,,42381,1900,,,,20,,1,,125,,133,1751825537,,,,,,,,,,,,,,,,,,,,,,,,,10089509083899841423
87,01:00:5e:00:00:fb,34:6f:24:c6:15:13,0x0800,UDP,172.22.121.81,224.0.0.251,0,0,200,0,,,5353,5353,,,,20,,255,,45,,53,1751825537,,,,,,,,,,,,,,,,,,,,,,,,,1366572692455993651
107,33:33:00:00:00:fb,34:6f:24:c6:15:13,0x86DD,UDP,fe80:0000:0000:0000:bba5:a18b:73b3:9dfe,ff02:0000:0000:0000:0000:0000:0000:00fb,0,0,,,0,734681,5353,5353,,0,0,40,,,255,45,,53,1751825537,,,,,,,,,,,,,,,,,,,,,,,,,7180454308768470975
167,01:00:5e:7f:ff:fa,34:6f:24:c6:15:13,0x0800,UDP,172.22.121.81,239.255.255.250,0,0,160,0,,,65532,1900,,,,20,,255,,125,,133,1751825537,,,,,,,,,,,,,,,,,,,,,,,,,13154262507935913233
